Schedule_ID,meas_P1-P2,meas_P3-P4,meas_P5-P6,meas_P7-P8,gt_P1-P2,gt_P3-P4,gt_P5-P6,gt_P7-P8,err_P1-P2,err_P3-P4,err_P5-P6,err_P7-P8,mean_error,mean_rel_error_percent
202511201026498851,595.091564,593.082241,991.867535,969.79968,154.0,145.0,981.0,965.0,8.908436000000052,1.9177590000000464,10.867534999999975,4.799679999999967,6.62335250000001,2.1781172413728953
202511201026498852,1362.008038,1342.638836,1014.049933,1107.37262,908.0,887.0,1008.0,1111.0,4.008037999999942,5.638836000000083,6.04993300000001,3.627379999999903,4.8310467499999845,0.5009556112554955
202511201026498853,790.956847,781.967551,673.442769,580.692661,354.0,349.0,626.0,601.0,13.043152999999961,17.032449000000042,47.442769,20.307338999999956,24.45642749999999,4.880626596441231
202511201026498854,1477.199235,1464.69519,744.09942,808.843221,1020.0,1010.0,738.0,827.0,7.199235000000044,4.695189999999911,6.099420000000009,18.15677900000003,9.037655999999998,1.048164148581705
202511201026498856,700.595923,695.351049,1040.733768,907.422507,247.0,238.0,1042.0,900.0,3.5959229999999707,7.351048999999989,1.2662319999999454,7.422506999999996,4.908927749999975,1.3726894218917636
202511201026498857,1229.553177,1225.356646,1015.297446,1017.474696,786.0,775.0,1007.0,1028.0,6.446822999999995,0.35664599999995517,8.297446000000036,10.525304000000006,6.406554749999998,0.6785160859532198
202511201026498858,1378.137623,1348.22437,856.014623,873.121294,921.0,910.0,850.0,870.0,7.137623000000076,11.775630000000092,6.014623000000029,3.1212940000000344,7.012292500000058,0.7838459032568245
202511201026498859,1250.450773,1241.62453,1005.415405,1107.596414,798.0,788.0,1000.0,1114.0,2.4507730000000265,3.6245300000000498,5.415404999999964,6.403585999999905,4.473573499999986,0.4708622079391514
202511201026498860,1123.951412,1123.340475,1034.983409,1010.128864,739.0,728.0,1030.0,1004.0,65.04858800000011,54.65952500000003,4.983408999999938,6.128864000000021,32.705096500000025,4.351172970161183
202511201026498861,1285.488021,1282.387322,862.940649,875.367071,879.0,868.0,861.0,870.0,43.51197900000011,35.61267799999996,1.9406490000000076,5.36707100000001,21.608094250000022,2.473827705444221
202511201026498862,1283.38341,1270.973891,904.502009,925.838289,830.0,820.0,901.0,930.0,3.3834099999999125,0.9738910000000942,3.5020090000000437,4.161710999999968,3.0052552500000047,0.340645750808579
202511201026498863,834.778258,833.439007,920.062911,795.764122,422.0,416.0,917.0,794.0,37.22174199999995,32.56099300000005,3.0629109999999855,1.764122000000043,18.652442000000008,4.300918911442301
202511270905601472,1534.195831,1497.468981,615.035342,582.841509,1080.0,1068.0,607.0,584.0,4.195830999999998,20.531019000000015,8.035342000000014,1.1584910000000264,8.480170750000013,0.9582585600272943
202511270905601473,984.856503,955.472813,642.72965,567.137353,499.0,490.0,624.0,559.0,35.856502999999975,15.472812999999974,18.729649999999992,8.137352999999962,19.549079749999976,3.7001583849636823
202511270905601474,935.680879,911.750107,680.350496,517.904631,516.0,506.0,692.0,527.0,30.319120999999996,44.24989300000004,11.649503999999979,9.095369000000005,23.828471750000006,4.507541889293541
202511270905601475,1433.975046,1412.740978,679.318848,541.801972,959.0,949.0,688.0,542.0,24.97504600000002,13.740978000000041,8.681151999999997,0.19802800000002208,11.89880100000002,1.3376387111824266
202511270905601476,1280.141648,1249.244687,1003.349758,960.471517,830.0,812.0,991.0,980.0,0.14164800000003197,12.755312999999887,12.349757999999952,19.52848300000005,11.19380049999998,1.2067028110455973
202511270905601477,1485.363012,1474.497063,705.760791,653.931277,1039.0,1043.0,716.0,654.0,3.636987999999974,18.502936999999974,10.23920899999996,0.06872299999997722,8.111964249999971,0.8911558521773809
202511270905601478,1462.940998,1450.036853,748.650789,653.978021,1016.0,1020.0,731.0,642.0,3.059001999999964,19.963146999999935,17.65078900000003,11.978021000000012,13.162739749999986,1.6346495291719072
202511271034602746,811.192989,786.163801,877.294291,865.118492,374.0,358.0,863.0,877.0,12.807010999999989,21.836198999999965,14.294291000000044,11.881508000000053,15.204752250000013,3.133742563669123
